"Data Source","World Development Indicators",

"Last Updated Date","2017-10-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Togo","TGO","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","1500","1400","1200","1200","1200","1300","1500","1400","1400","1500","1400","1300","1400","1400","1300","1400","1100","1000","1100","1100","500","1200","1100","1300","1300","1300","1500","1500","1500","1500","1518","716","","","","","","","","","8164","10745","10264","11484","10599.370360014","9946.99881160433","10724.4",
"Thailand","THA","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","25600","27300","26600","26900","28800","29700","29500","28400","29000","30800","32600","34100","36800","40000","44200","47400","49600","48300","54600","61800","69500","69800","72700","76200","80700","86500","91700","94900","93500","95400","101591","102414","97750","93576","128178","124347","126845","129703","125907","123541","201306","227322","252368.898405228","298450","338053.981662592","388530.460733496","405393.057",
"Tajikistan","TJK","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3200","3500","2600","2600","2600","3800","3953","4511","5936","7210","8494","6987","2976","7891","8191","9758","5709.66891573827","7320","6529.89687626775","6263","7985","6883.531","6472.147",
"Turkmenistan","TKM","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12500","12500","8700","8700","8800","18500","21858","23963","23963","24460","16316","14094","15602","15590","15665","15337","3221","1617.84131054131","1440.73219373219","12871.0166080453","6068.32","8548.8","12890.16",
"Latin America & the Caribbean (IDA & IBRD countries)","TLA","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","696700","663000","675900","689000","728300","749400","770800","756300","766700","859000","933500","918700","1029000","1120000","1162800","1136900","1154500","1175700","1160400","1181100","1192900","1218400","1260800","1353900","1412700","1430600","1498300","1701200","1777500","1938700","1795191","1875770","1720239","1528729","1543862","1611517","1649988","1787182","1755794","1797292","2255941.2373442","2384451.96568567","2503306.41141084","2675506.41507694","2771753.99664724","2834271.69745558","2754816.11833626",
"Timor-Leste","TLS","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Middle East & North Africa (IDA & IBRD countries)","TMN","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","105400","112300","121700","139000","154700","165800","191100","197100","203000","189400","185000","184200","187400","213000","210200","199700","211900","208800","220900","225700","223400","211300","218800","224500","233400","229500","249200","277600","271000","271700","296322","356337","297723","340925","333384","360734","391697","412178","382907","419054","556612.177222359","530059.433902329","511465.28530907","556102.5","571311.141616393","531253.95656493","555842.118879242",
"Tonga","TON","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","1200","1200","4500","5900","4800","4800","4300","4300","4300","4300","4800","4800","5200","3700","3700","3800","3814","4157","4323","4453","5255","","","","","","","","","","","","",
"South Asia (IDA & IBRD)","TSA","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","162000","120100","140800","150700","129200","158000","166600","175000","183600","184000","185200","184400","187700","199800","209400","235900","250800","257800","268700","272600","245300","234900","242700","228400","257300","298700","284100","314700","323400","291800","296548","294067","299963","338691","391577","419742","548761","666865","691007","700428","799070.004661475","894201.031775018","864800.192205104","900742.4","966479.12","1026249.92704192","1173973.611",
"Sub-Saharan Africa (IDA & IBRD countries)","TSS","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","220000","228000","224700","228200","220100","253200","281800","262600","276000","301000","321400","334600","323400","329300","326600","334200","304800","306600","300500","311500","317100","321900","302300","302700","303500","278900","293600","337600","332300","337800","354035","349026","320253","338510","356660","380427","378262","421479","366757","373213","591685.620019651","638799.444494206","661095.249725437","703872.772","680337.126803799","716297.359240456","725238.197003088",
"Trinidad and Tobago","TTO","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","12500","10300","9400","9000","8000","12100","13600","11800","8300","12200","15100","13700","24200","23200","23300","22800","25000","20000","21300","21800","21500","23400","23100","23900","28000","29400","13700","12400","12500","20900","25982","27908","23076","17731","17483","14298","13878","14703","15017","14247","28909","36648.0737879789","36648.0737879789","36564","36216","35126.496","35176.06674",
"Tunisia","TUN","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","6600","5700","6900","8600","9500","11200","11300","10800","11300","12500","12300","13500","13800","13700","13800","13800","11200","13000","12500","13100","12900","12300","12500","13300","14400","14900","13800","17200","19700","20100","19907","19385","18538","18738","20554","21268","21715","21734","24385","24225","31098","32179.9168975069","37233","48804","60419","35539.728","38630.21",
"Turkey","TUR","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","28700","32000","34700","36700","30600","27200","32000","33400","30400","31400","18900","25300","24000","24600","28400","31600","31700","32900","36800","38300","44200","38600","58600","70500","75100","78500","84900","92800","103900","111400","119945","111342","105996","104377","121815","145952","177088","197132","215275","271835","369174","420222","476115","568212.396628194","628104","706067","743673.272",
"Tuvalu","TUV","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Tanzania","TZA","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","10500","10000","9600","11500","9000","13700","14900","4100","8900","13000","17500","18700","13400","11800","10400","13800","11200","12300","12100","8000","7500","9400","7500","5700","5400","5600","6100","6000","6100","5000","5973","4360","4401","6082","6441","6062","5068","5457","5460","21088","21825","26332.300586101","28130.4720729721","27625.772","31106.181","35374.176","27422",
"Uganda","UGA","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","10500","10100","7300","1700","1200","2200","2800","","","","1500","2700","2800","3100","2100","1100","1800","1700","1200","2000","2000","800","500","1500","1500","900","900","900","900","3000","263","266","263","263","302","317","330","353","349","359","6290","4879","5990","8616","6864","2331.624","3828.363",
"Ukraine","UKR","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45400","26400","11400","22600","27700","30600","29800","29500","27973","32864","26859","39778","42374","41911","48562","30029","52509","58756","66038","76652.2681818182","73378.9426182735","58474.09","47927.4","45803.126","54590.363",
"Upper middle income","UMC","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","1016100","1053000","1101300","1087700","1107500","1230100","1296600","1276600","1397500","1514700","1586200","1548800","1588900","1655500","1686100","1714300","1796800","1791900","1870900","2919300","2952500","2945100","3002200","3192100","3159700","3393000","3314690","3771180","3676484","3542140","3941280","4205134","4514480","4963249","5063898","5442659","6509966.35360172","6959252.73189365","7436162.34859066","8199521.28607006","8807642.54342697","9354878.50584301","9649448.33371757",
"Uruguay","URY","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","6800","7000","4800","5000","10400","10400","12200","11900","10900","11900","13000","11000","10500","8500","8500","8100","5600","5800","5200","7700","5000","5000","5100","8500","9000","9000","6700","8200","9900","10300","10852","9550","8404","7032","8343","8934","8666","9186","9388","8731","","","","","","","",
"United States","USA","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","5099200","4999200","4985200","5058200","4650400","4576100","4690500","4795900","4857000","5041800","4962700","4628300","4572100","4810900","5206200","5553900","6106000","6398000","6628500","6522100","6848600","6623900","6578100","6427800","7250000","7682200","8031800","7942900","7824400","8511400","8820878","8535240","8038761","7789108","9566226","9969599","9738983","9815504","9054478","9182363","10095197","10057768","9864360","9745498","9556324","9496469","9631764",
"Uzbekistan","UZB","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15600","16200","11500","11500","11700","30800","30075","39673","22543","22325","22698","22183","21514","22265","22406","23176","22924","23773","24328","23962","23149","22579","21486",
"St. Vincent and the Grenadines","VCT","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Venezuela, RB","VEN","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","70100","65600","68900","75500","74000","78300","77500","82200","85100","136200","125200","119500","124700","129900","127200","97900","96700","88000","102700","115200","82000","81100","97700","107100","94200","80300","82800","72700","67400","130200","138500","223075","166807","110062","123232","135574","139671","140774","137900","123646","84065","83106","78583.1623779542","92813","90235","73507.912","64058.608",
"British Virgin Islands","VGB","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Virgin Islands (U.S.)","VIR","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Vietnam","VNM","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","39600","24100","20300","18200","16000","4500","","","","","200","600","600","1600","1600","1800","1800","1800","1800","1800","1800","3700","3700","16800","21200","27100","27800","33500","29700","29000","28999","35658","42588","41996","50855","54415","50840","60218","74739","83720","109176","135905.672936536","135300.414088577","149527.817","167386.363","205217","252441",
"Vanuatu","VUT","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","400","400","300","200","300","300","300","300","300","600","700","1100","1300","1600","1600","1700","2100","1300","1402","1446","1547","1211","1477","1580","1643","1742","1775","1667","17212","11218.2976736216","11905","12144","10848","10425","9037",
"World","WLD","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","9448300","9504500","","9764900","9254900","9244700","9562900","9915900","10183700","10653400","10704900","10270100","10335800","10758700","11404000","11897900","12677000","13244800","13880900","14021100","14583900","14360900","14918800","15986200","17218900","18008200","18953600","19546600","19653200","20736600.0009766","22008658","22264220","20817389","21282617","23752616","24228965","24843166","26016011","25498093","26122523","29637929.5405283","30564978.0951817","30771384.5860793","31464398.8821721","32339781.9790769","33271774.8291254","34484947.7380162",
"Samoa","WSM","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6500","1200","9900","10700","10877","11802","12317","9010","10691","11439","12752","12658","12699","12492","","","","","9144","11759.184","13805.282",
"Kosovo","XKX","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Yemen, Rep.","YEM","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","2200","2800","2900","3000","3100","3100","6800","7000","7100","7100","9200","9300","7900","9500","9900","9900","15300","13700","14600","13800","14100","11300","13900","13100","12400","4900","11800","7000","7300","7800","14608","14973","15495","14706","16746","17306","18843","14403","14462","14652","20600","20176.7285260675","16807.4072955955","16932","16056","11459.916","5647.322",
"South Africa","ZAF","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","39800","46000","47600","47800","55700","58600","59400","58500","58100","63100","64600","69800","70100","64100","67200","64200","51000","55800","60800","81200","84000","78600","79900","93700","89300","74300","88400","102200","93200","103800","110392","122561","116985","130938","133222","148146","146648","152550","156567","151292","190441","191506.866330359","197817.300311111","184763","199600.522813668","209733.982890931","218103.19763027",
"Zambia","ZMB","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","9300","10600","10800","10000","10000","11200","12800","9300","10500","9200","6800","5400","6500","6000","5700","4700","4900","5400","5600","2900","6500","2800","2700","4200","4300","","","1200","1200","5400","6118","4886","4875","5214","5825","5965","6013","6396","4361","","9730","11497","8288","7997","8050","10048.806","10016.908",
"Zimbabwe","ZWE","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","10400","10800","10800","11400","","","","","","","10900","11100","11100","10800","10600","9400","8900","8800","9700","10000","10300","13300","13500","11000","9800","9900","10000","17700","17800","15300","13603","8848","5050","3950","4269","4410","6819","7272","5917","5937","7077","10020.7056112793","11560.3678539236","27684","3730","4145","4231.16",
